offsetCenter,differenceForward,steeringAngle
0.008,0.0049,0.0
0.007,0.0047,0.0
0.006,0.0049,0.0
0.005,0.0046,0.0
0.004,0.0048,0.0
0.003,0.0046,0.0
0.002,0.0049,0.0
0.001,0.0046,0.0
0.0,0.0049,0.0
-0.001,0.0045,0.0
-0.002,0.0047,0.0
-0.003,0.0044,0.0
-0.004,0.0046,0.0
-0.005,0.0044,0.0
-0.006,0.0048,0.0
-0.007,0.0046,0.0
-0.007,0.0048,0.0
-0.008,0.0046,0.0
-0.009,0.0048,0.0
-0.01,0.0046,0.0
-0.011,0.0049,0.0
-0.012,0.0047,0.0
-0.013,0.0049,0.0
-0.014,0.0047,0.0
-0.015,0.005,0.0
-0.016,0.0046,0.0
-0.017,0.0049,0.0
-0.018,0.0047,0.0
-0.019,0.0049,0.0
-0.02,0.0046,0.0
-0.021,0.005,0.0
-0.022,0.0046,0.0
-0.023,0.0048,0.0
-0.024,0.005,0.0
-0.025,0.0047,0.0
-0.026,0.0049,0.0
-0.027,0.0047,0.0
-0.028,0.005,0.0
-0.029,0.0048,0.0
-0.03,0.005,0.0
-0.031,0.0047,0.0
-0.032,0.0049,0.0
-0.033,0.0046,0.0
-0.034,0.005,0.0
-0.035,0.0048,0.0
-0.036,0.0049,0.0
-0.037,0.0048,0.0
-0.038,0.005,0.0
-0.039,0.0047,0.0
-0.04,0.005,0.0
-0.041,0.0048,0.0
-0.041,0.005,0.0
-0.042,0.0048,0.0
-0.043,0.0051,0.0
-0.045,0.0049,0.0
-0.045,0.0052,0.0
-0.047,0.0049,0.0
-0.047,0.0052,0.0
-0.049,0.0049,0.0
-0.049,0.0051,0.0
-0.051,0.0048,0.0
-0.051,0.005,0.0
-0.053,0.0047,0.0
-0.054,0.0048,0.0
-0.055,0.0047,0.0
-0.055,0.0049,0.0
-0.057,0.0045,0.0
-0.058,0.0047,0.0
-0.058,0.0045,0.0
-0.059,0.0048,0.0
-0.06,0.0045,0.0
-0.061,0.0047,0.0
-0.062,0.0045,0.0
-0.063,0.0048,0.0
-0.064,0.0045,0.0
-0.065,0.0048,0.0
-0.066,0.0046,0.0
-0.067,0.005,0.0
-0.069,0.005,0.0
-0.07,0.0049,0.0
-0.071,0.0051,0.0
-0.072,0.0046,0.0
-0.073,0.005,0.0
-0.074,0.0048,0.0
-0.075,0.0049,0.0
-0.076,0.0048,0.0
-0.077,0.005,0.0
-0.078,0.0048,0.0
-0.079,0.005,0.0
-0.08,0.0048,0.0
-0.081,0.005,0.0
-0.082,0.0048,0.0
-0.083,0.0051,0.0
-0.084,0.0048,0.0
-0.085,0.0051,0.0
-0.086,0.0048,0.0
-0.087,0.0051,0.0
-0.088,0.0049,0.0
-0.089,0.0052,0.0
-0.09,0.0048,0.0
-0.091,0.0048,0.0
-0.092,0.0051,0.0
-0.093,0.0047,0.0
-0.094,0.0049,0.0
-0.095,0.0046,0.0
-0.096,0.0049,0.0
-0.097,0.0046,0.0
-0.098,0.005,0.0
-0.099,0.0048,0.0
-0.1,0.005,0.0
-0.101,0.0048,0.0
-0.101,0.005,0.0
-0.102,0.0048,0.0
-0.103,0.0051,0.0
-0.105,0.0048,0.0
-0.105,0.0051,0.0
-0.107,0.0048,0.0
-0.107,0.005,0.0
-0.109,0.0047,0.0
-0.109,0.0049,0.0
-0.111,0.0047,0.0
-0.111,0.0048,0.0
-0.112,0.0047,0.0
-0.113,0.005,0.0
-0.114,0.0048,0.0
-0.115,0.005,0.0
-0.116,0.0048,0.0
-0.117,0.0051,0.0
-0.118,0.0049,0.0
-0.119,0.0051,0.0
-0.12,0.0049,0.0
-0.121,0.0051,0.0
-0.122,0.0048,0.0
-0.123,0.0049,0.0
-0.124,0.0047,0.0
-0.125,0.0049,0.0
-0.126,0.0047,0.0
-0.127,0.0048,0.0
-0.128,0.0046,0.0
-0.128,0.0048,0.0
-0.129,0.0046,0.0
-0.13,0.0048,0.0
-0.131,0.0045,0.0
-0.132,0.0048,0.0
-0.133,0.0046,0.0
-0.134,0.0048,0.0
-0.134,0.004,0.1
-0.135,0.0034,0.0
-0.136,0.0027,0.0
-0.137,0.0026,0.0
-0.136,0.0014,0.1
-0.137,0.0005,0.0
-0.137,0.0003,0.0
-0.137,0.0006,0.0
-0.137,0.0017,0.1
-0.134,0.0044,0.1
-0.133,0.0084,0.1
-0.132,0.0118,0.0
-0.131,0.0143,0.0
-0.128,0.0155,0.0
-0.125,0.0166,0.0
-0.122,0.0168,0.0
-0.119,0.0173,0.0
-0.115,0.018,0.1
-0.11,0.0209,0.2
-0.104,0.0248,0.1
-0.099,0.0299,0.1
-0.094,0.0341,0.0
-0.089,0.0369,0.0
-0.081,0.0384,0.0
-0.074,0.0398,0.1
-0.067,0.041,0.0
-0.058,0.0428,0.1
-0.049,0.0454,0.1
-0.038,0.0496,0.1
-0.028,0.0548,0.1
-0.017,0.0598,0.1
-0.006,0.0647,0.0
0.017,0.0693,0.0
0.031,0.07,0.0
0.046,0.0703,0.1
0.06,0.068,0.1
0.074,0.0673,0.1
0.088,0.0672,0.1
0.109,0.068,0.1
0.135,0.0688,0.1
0.162,0.0703,0.1
0.188,0.0702,0.0
0.214,0.0686,0.0
0.239,0.0661,0.1
0.173,0.0575,0.1
0.184,0.0571,0.1
0.197,0.0576,0.1
0.211,0.0583,0.1
0.223,0.0584,0.0
0.234,0.0564,0.0
0.246,0.0534,0.0
0.259,0.05,0.1
0.248,0.0413,0.2
0.259,0.0406,0.1
0.271,0.0411,0.1
0.281,0.0417,0.1
0.292,0.0429,0.1
0.305,0.044,0.1
0.316,0.0455,0.1
0.326,0.0455,0.0
0.338,0.0438,0.0
0.313,0.0339,0.1
0.326,0.0328,0.1
0.336,0.0325,0.1
0.346,0.0329,0.1
0.357,0.0337,0.1
0.371,0.0353,0.1
0.379,0.0355,0.0
0.391,0.033,0.0
0.401,0.0311,0.1
0.362,0.0224,0.1
0.372,0.0222,0.1
0.384,0.0224,0.1
0.393,0.0234,0.1
0.405,0.0244,0.1
0.415,0.0258,0.1
0.425,0.027,0.1
0.436,0.0272,0.0
0.385,0.0183,0.1
0.394,0.0178,0.1
0.406,0.0178,0.1
0.416,0.0187,0.1
0.426,0.0195,0.1
0.436,0.0208,0.1
0.448,0.022,0.1
0.457,0.0224,0.0
0.471,0.0208,0.1
0.406,0.0133,0.2
0.418,0.0136,0.1
0.427,0.0144,0.1
0.44,0.0155,0.1
0.451,0.0171,0.1
0.463,0.0183,0.1
0.474,0.0197,0.1
0.485,0.0197,0.0
0.496,0.0188,0.1
0.423,0.0104,0.1
0.433,0.0105,0.1
0.444,0.0114,0.1
0.456,0.0122,0.1
0.468,0.0135,0.1
0.481,0.0147,0.1
0.492,0.0152,0.0
0.503,0.014,0.1
0.418,0.0063,0.2
0.429,0.0065,0.1
0.441,0.0074,0.1
0.455,0.0084,0.1
0.467,0.0099,0.1
0.479,0.0111,0.1
0.492,0.0127,0.1
0.506,0.0141,0.1
0.521,0.0165,0.2
0.423,0.0113,0.1
0.437,0.0136,0.1
0.451,0.0154,0.1
0.465,0.0174,0.1
0.481,0.0189,0.1
0.496,0.0207,0.1
0.51,0.0209,0.0
0.525,0.0194,0.0
0.542,0.0166,0.1
0.434,0.0081,0.1
0.448,0.0077,0.1
0.463,0.0084,0.1
0.478,0.009,0.1
0.493,0.0104,0.1
0.508,0.0115,0.1
0.525,0.0132,0.1
0.54,0.0132,0.0
0.421,0.0049,0.1
0.435,0.0041,0.1
0.471,0.0051,0.1
0.484,0.0062,0.1
0.499,0.0074,0.1
0.515,0.0089,0.1
0.53,0.0102,0.1
0.548,0.0125,0.2
0.419,0.0074,0.1
0.436,0.0097,0.1
0.453,0.0114,0.1
0.47,0.0134,0.1
0.487,0.0149,0.1
0.505,0.0155,0.0
0.521,0.0136,0.0
0.54,0.0115,0.1
0.405,0.0026,0.2
0.42,0.0028,0.1
0.44,0.0033,0.1
0.458,0.0047,0.1
0.476,0.0057,0.1
0.49,0.0067,0.1
0.51,0.0087,0.1
0.526,0.0088,0.0
0.544,0.008,0.1
0.398,0.0001,0.1
0.415,0.0004,0.1
0.434,0.001,0.1
0.452,0.0023,0.1
0.471,0.0034,0.1
0.489,0.005,0.1
0.508,0.0062,0.1
0.526,0.0066,0.0
0.37,0.0023,0.1
0.388,0.0027,0.1
0.407,0.0027,0.1
0.426,0.0017,0.1
0.445,0.0008,0.1
0.464,0.0007,0.1
0.483,0.0019,0.1
0.502,0.0035,0.1
0.523,0.0055,0.2
0.359,0.0008,0.1
0.381,0.0028,0.1
0.403,0.0054,0.1
0.421,0.0068,0.1
0.44,0.0086,0.1
0.461,0.0102,0.1
0.482,0.0108,0.0
0.507,0.0091,0.1
0.383,0.0014,0.1
0.366,0.0016,0.1
0.376,0.0026,0.1
0.399,0.0035,0.1
0.42,0.0051,0.1
0.441,0.0063,0.1
0.464,0.0081,0.1
0.486,0.0081,0.0
0.401,0.0002,0.1
0.385,0.0008,0.1
0.369,0.0003,0.1
0.375,0.0003,0.1
0.397,0.0017,0.1
0.42,0.0028,0.1
0.443,0.0045,0.1
0.465,0.0058,0.1
0.419,0.001,0.2
0.404,0.0034,0.1
0.387,0.0062,0.1
