offsetCenter,vehicle rotation,road rotation,steeringAngle,is_junction
-0.005,-179.75628662109375,-179.92672729492188,-0.0,True
-0.005,-179.75628662109375,-179.92672729492188,-0.0,True
-0.005,-179.75628662109375,-179.92672729492188,-0.0,True
-0.005,-179.75628662109375,-179.92672729492188,-0.0,True
-0.006,-179.75628662109375,-179.92672729492188,-0.0,True
-0.006,-179.75628662109375,-179.92672729492188,-0.0,True
-0.006,-179.75628662109375,-179.92672729492188,-0.0,True
-0.006,-179.75628662109375,-179.92672729492188,-0.0,True
-0.007,-179.75628662109375,-179.92672729492188,-0.0,True
-0.007,-179.75628662109375,-179.92672729492188,-0.0,True
-0.007,-179.75628662109375,-179.92672729492188,-0.0,True
-0.007,-179.75628662109375,-179.92672729492188,-0.0,True
-0.008,-179.75628662109375,-179.92672729492188,-0.0,True
-0.008,-179.75628662109375,-179.92672729492188,-0.0,True
-0.008,-179.75628662109375,-179.92672729492188,-0.0,True
-0.009,-179.75628662109375,-179.92672729492188,-0.0,True
-0.009,-179.75628662109375,-179.92672729492188,-0.0,True
-0.009,-179.75628662109375,-179.92672729492188,-0.0,True
-0.009,-179.75628662109375,-179.92672729492188,-0.0,True
-0.01,-179.75628662109375,-179.92672729492188,-0.0,True
-0.01,-179.75628662109375,-179.92672729492188,-0.0,True
-0.01,-179.75628662109375,-179.92672729492188,-0.0,True
-0.011,-179.75628662109375,-179.92672729492188,-0.0,True
-0.011,-179.75628662109375,-179.92672729492188,-0.0,True
-0.011,-179.75628662109375,-179.92672729492188,-0.0,True
-0.011,-179.75628662109375,-179.92672729492188,-0.0,True
-0.011,-179.75628662109375,-179.92672729492188,-0.0,True
-0.012,-179.75628662109375,-179.92672729492188,-0.0,True
-0.012,-179.75628662109375,-179.92672729492188,-0.0,True
-0.012,-179.75628662109375,-179.92672729492188,-0.0,True
-0.012,-179.75628662109375,-179.92672729492188,-0.0,True
-0.013,-179.75628662109375,-179.92672729492188,-0.0,True
-0.013,-179.75628662109375,-179.92672729492188,-0.0,True
-0.013,-179.75628662109375,-179.92672729492188,-0.0,True
-0.012,-179.75628662109375,-179.92672729492188,0.1,True
-0.013,-179.75628662109375,-179.92672729492188,0.0,True
-0.013,-179.75628662109375,-179.92672729492188,0.0,True
-0.013,-179.75628662109375,-179.92672729492188,0.0,True
-0.013,-179.75628662109375,-179.92672729492188,0.0,True
-0.012,-179.75628662109375,-179.92672729492188,0.0,True
-0.012,-179.75628662109375,-179.92672729492188,0.0,True
-0.011,-179.75628662109375,-179.92672729492188,0.1,True
-0.01,-179.75628662109375,-179.92672729492188,0.0,True
-0.009,-179.75628662109375,-179.92672729492188,0.1,True
-0.004,-179.75628662109375,-179.92672729492188,0.1,True
-0.001,-179.75628662109375,-179.92672729492188,0.1,True
0.003,-179.75628662109375,-179.92672729492188,0.1,True
0.007,-179.75628662109375,-179.92672729492188,0.0,True
0.011,-179.75628662109375,-179.92672729492188,0.0,True
0.016,-179.75628662109375,-179.92672729492188,0.0,True
0.023,-179.75628662109375,-179.92672729492188,0.1,True
0.032,-179.75628662109375,-179.92672729492188,0.1,True
0.04,-179.75628662109375,-179.92672729492188,0.1,True
0.05,-179.75628662109375,-179.92672729492188,0.1,True
0.06,-179.75628662109375,-179.92672729492188,0.1,True
0.068,-179.75628662109375,-179.92672729492188,0.0,True
0.078,-179.75628662109375,-179.92672729492188,0.0,True
0.089,-179.75628662109375,-179.92672729492188,0.0,True
0.101,-179.75628662109375,-179.92672729492188,0.0,True
0.115,-179.75628662109375,-179.92672729492188,0.1,True
0.128,-179.75628662109375,-179.92672729492188,0.1,True
0.143,-179.75628662109375,-179.92672729492188,0.1,True
0.155,-179.75628662109375,-179.92672729492188,0.1,True
0.166,-179.75628662109375,-179.92672729492188,0.1,True
0.181,-179.75628662109375,-179.92672729492188,0.1,True
0.191,-179.75628662109375,-179.92672729492188,0.0,True
0.202,-179.75628662109375,-179.92672729492188,0.0,True
0.224,-179.75628662109375,-179.92672729492188,0.0,True
0.213,-179.75628662109375,-179.92672729492188,0.1,True
0.226,-179.75628662109375,-179.92672729492188,0.1,True
0.236,-179.75628662109375,-179.92672729492188,0.1,True
0.247,-179.75628662109375,-179.92672729492188,0.1,True
0.259,-179.75628662109375,-179.92672729492188,0.1,True
0.269,-179.75628662109375,-179.92672729492188,0.1,True
0.28,-179.75628662109375,-179.92672729492188,0.1,True
0.29,-179.75628662109375,-179.92672729492188,0.0,True
0.3,-179.75628662109375,-179.92672729492188,0.1,True
0.287,-179.75628662109375,-179.92672729492188,0.1,True
0.298,-179.75628662109375,-179.92672729492188,0.1,True
0.309,-179.75628662109375,-179.92672729492188,0.1,True
0.32,-179.75628662109375,-179.92672729492188,0.1,True
0.335,-179.75628662109375,-179.92672729492188,0.1,True
0.345,-179.75628662109375,-179.92672729492188,0.0,True
0.353,-179.75628662109375,-179.92672729492188,0.0,True
0.363,-179.75628662109375,-179.92672729492188,0.0,True
0.337,-179.75628662109375,-179.92672729492188,0.1,True
0.348,-179.75628662109375,-179.92672729492188,0.1,True
0.359,-179.75628662109375,-179.92672729492188,0.1,True
0.369,-179.75628662109375,-179.92672729492188,0.1,True
0.378,-179.75628662109375,-179.92672729492188,0.1,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.399,-179.75628662109375,-179.92672729492188,0.1,True
0.408,-179.75628662109375,-179.92672729492188,0.0,True
0.418,-179.75628662109375,-179.92672729492188,0.1,True
0.378,-179.75628662109375,-179.92672729492188,0.1,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.398,-179.75628662109375,-179.92672729492188,0.1,True
0.408,-179.75628662109375,-179.92672729492188,0.1,True
0.418,-179.75628662109375,-179.92672729492188,0.1,True
0.43,-179.75628662109375,-179.92672729492188,0.1,True
0.44,-179.75628662109375,-179.92672729492188,0.0,True
0.45,-179.75628662109375,-179.92672729492188,0.0,True
0.397,-179.75628662109375,-179.92672729492188,0.1,True
0.407,-179.75628662109375,-179.92672729492188,0.1,True
0.416,-179.75628662109375,-179.92672729492188,0.1,True
0.427,-179.75628662109375,-179.92672729492188,0.1,True
0.437,-179.75628662109375,-179.92672729492188,0.1,True
